model,r2_train,r2_test,mae_test,rmse_test
Regressão Linear,0.33251242984548657,0.3208926769674231,12.009515233075573,16.853094110101896
Árvore de Decisão (max_depth=6),0.10456471746807927,0.10016030243002205,15.81854907428881,19.39961063928961
Árvore de Decisão (sem limite = overfit),0.9769231651529563,-0.016182413207771473,13.095014639309818,20.61561411011731
Random Forest,0.2064920755671128,0.18655915888453944,14.645155412086854,18.444777723348963
